time (s)	magX	magY	magZ
5360.833599	2.030392	93.108704	-12.125658
5360.836965	1.913502	91.881363	-12.242548
5360.840337	2.381063	89.835770	-12.943892
5360.843607	1.621275	89.309769	-13.469900
5360.846912	1.562828	88.900635	-13.353010
5360.850249	1.562828	88.491531	-13.995909
5360.853570	1.095266	87.147278	-14.405025
5360.856917	0.919930	86.036819	-14.755698
5360.860248	1.095266	84.751022	-14.229690
5360.863611	0.803040	83.991226	-13.995909
5360.866938	0.978376	83.699005	-14.229690
5360.870277	0.160139	83.406784	-15.047924
5360.873610	0.569256	81.945648	-14.814143
5360.876940	0.101694	81.361191	-14.054354
5360.880248	-0.365870	80.893631	-15.457042
5360.883580	-0.716541	79.958496	-15.281706
5360.886898	-1.008768	79.198715	-16.392168
5360.890243	-0.716541	78.438934	-15.690824
5360.893576	-1.125658	77.796036	-16.099941
5360.896909	-0.833431	77.796036	-15.632379
5360.900258	-1.184103	77.620682	-15.690824
5360.903598	-1.300995	76.802444	-16.041496
5360.906957	-0.950321	76.860901	-16.099941
5360.910318	-1.476330	75.808884	-15.340151
5360.913572	-1.417885	75.925781	-15.340151
5360.916911	-1.417885	75.691986	-15.866159
5360.920238	-1.593220	74.932205	-15.749269
5360.923566	-1.593220	75.341324	-16.275276
5360.926908	-1.710112	75.282867	-15.866159
5360.930250	-1.476330	74.873764	-15.164815
5360.933568	-1.943893	74.756866	-15.223261
5360.936930	-2.060783	74.932205	-15.281706
5360.940261	-2.177673	74.464645	-14.755698
5360.943592	-1.943893	74.347748	-15.340151
5360.946905	-1.885447	74.347748	-14.697252
5360.950234	-2.762127	74.230850	-16.158386
5360.953565	-2.060783	73.704849	-14.931034
5360.956905	-2.469900	73.997070	-15.573934
5360.960238	-2.469900	73.704849	-16.041496
5360.963558	-2.703682	74.055527	-15.924605
5360.966952	-2.645237	73.938629	-15.632379
5360.970252	-3.112799	73.997070	-14.872588
5360.973589	-2.879019	74.113968	-15.340151
5360.976916	-3.638807	74.230850	-15.866159
5360.980268	-2.820572	74.581528	-15.983050
5360.983561	-2.820572	73.997070	-15.866159
5360.986899	-3.814144	74.581528	-15.573934
5360.990232	-4.340153	74.230850	-15.749269
5360.993564	-4.164818	74.523087	-15.398597
5360.996896	-4.515490	75.107544	-15.164815
5361.000227	-4.398598	75.575104	-15.573934
